,Time Slot,SVM_Trips,SVM_Trips_Down
0,00:00:01-05:00:00,9,7
1,05:00:01-06:00:00,8,8
2,06:00:01-07:00:00,8,9
3,07:00:01-08:00:00,9,10
4,08:00:01-09:00:00,8,7
5,09:00:01-10:00:00,8,8
6,10:00:01-11:00:00,8,8
7,11:00:01-12:00:00,6,6
8,12:00:01-13:00:00,6,7
9,13:00:01-14:00:00,5,5
10,14:00:01-15:00:00,5,4
11,15:00:01-16:00:00,7,7
12,16:00:01-17:00:00,6,8
13,17:00:01-18:00:00,6,7
14,18:00:01-19:00:00,6,6
15,19:00:01-20:00:00,7,8
16,20:00:01-21:00:00,6,7
17,21:00:01-22:00:00,6,5
18,22:00:01-23:00:00,5,4
19,23:00:01-24:00:00,0,0
